Integration Name,PIP Dependency Name
aiobotocore,aiobotocore
aiohttp,aiohttp
aiohttp_jinja2,aiohttp_jinja2
aiomysql,aiomysql
aiopg,aiopg
aioredis,aioredis
algoliasearch,algoliasearch
anthropic,anthropic
aredis,aredis
asyncpg,asyncpg
azure_functions,azure-functions
avro,avro
boto,boto
botocore,botocore
bottle,bottle
cassandra,cassandra-driver
celery,celery
cherrypy,cherrypy
click,click
consul,python-consul
coverage,coverage
django,django
dogpile_cache,dogpile.cache
dramatiq,dramatiq
elasticsearch,elasticsearch
elasticsearch,elasticsearch1
elasticsearch,elasticsearch2
elasticsearch,elasticsearch5
elasticsearch,elasticsearch6
elasticsearch,elasticsearch7
elasticsearch,elastic_transport
elasticsearch,opensearchpy
falcon,falcon
fastapi,fastapi
flask,flask
flask_cache,flask-cache
freezegun,freezegun
gevent,gevent
google_generativeai,google-generativeai
graphql,graphql-core
grpc,grpcio
httpx,httpx
jinja2,jinja2
kafka,confluent-kafka
kombu,kombu
langchain,langchain
langgraph,langgraph
logbook,logbook
loguru,loguru
mako,mako
mariadb,mariadb
molten,molten
mongoengine,mongoengine
mysql,mysql-connector-python
mysqldb,mysqlclient
openai,openai
protobuf,protobuf
psycopg,psycopg
psycopg,psycopg2
pylibmc,pylibmc
pymemcache,pymemcache
pymongo,pymongo
pymysql,pymysql
pynamodb,pynamodb
pyodbc,pyodbc
pyramid,pyramid
pytest,pytest
pytest_bdd,pytest-bdd
pytest_benchmark,pytest-benchmark
redis,redis
rediscluster,rediscluster
requests,requests
rq,rq
sanic,sanic
selenium,selenium
snowflake,snowflake-connector-python
sqlalchemy,sqlalchemy
starlette,starlette
structlog,structlog
tornado,tornado
urllib3,urllib3
valkey,valkey
vertexai,vertexai
vertica,vertica-python
webbrowser,webbrowser
yaaredis,yaaredis